164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
445 43507 64426 3.706384e+00 9.977245e-01 9 1 9.977245e-01 9 3.258287 3.79e-09
446 56858 104805 1.865414e-01 9.705529e+01 182 1 9.705529e+01 182 3.212533 7.41e-09
447 70837 136297 4.120183e-01 2.005789e+01 62 1 2.005789e+01 62 3.195626 9.45e-09
448 10835 14682 8.426858e-01 2.280177e+00 8 1 2.280177e+00 8 3.148119 1.85e-08
449 8861 11853 2.934667e-01 5.532508e+01 164 1 5.532508e+01 164 3.096394 3.78e-08
450 3044 4195 1.682882e+00 2.554138e+00 9 1 2.554138e+00 9 3.008414 1.22e-07
451 9298 12686 4.824246e-01 2.137304e+01 120 1 2.137304e+01 120 3.005179 1.27e-07
452 3067 4264 6.765123e-01 8.275983e+00 38 1 8.275983e+00 38 2.945150 2.73e-07
453 49349 84202 2.435347e-01 7.435276e+01 223 1 7.435276e+01 223 2.887586 5.56e-07
454 39923 53165 1.112603e+00 3.584642e+00 13 1 3.584642e+00 13 2.832034 1.08e-06
455 45949 71739 1.960473e-01 1.381789e+02 258 1 1.381789e+02 258 2.781821 1.94e-06
456 38960 51229 5.696507e+00 5.806864e-01 9 1 5.806864e-01 9 2.780338 1.97e-06
